Name;Ort;Gerätemodell;Firmwareversion;Adresse + Port;Geräteinstanznr.;SW Version Applikation;Beschreibung;IPv4;Subnetzmaske;Udp port
Desigo CC Workstation 1049621;PC;Desigo CC;7.0;172.16.13.198;1049621;7.14;Desigo CC BACnet Workstation Device;;;
00DB302;MHM_NL'RPlt'C'Flr_00'C002;PXC3.E16A-2;v01.21;172.16.13.14;3148814;"AAS-20:SU=SiUn;CPD=2025-07-24 11:14:16;";Automationsstation;;;
01DB301;MHM_NL'RPlt'C'Flr_01'C011;PXC3.E16A-2;v01.21;172.16.13.22;3148822;"AAS-20:SU=SiUn;CPD=2025-07-16 14:34:28;";Automationsstation;;;
00DA302;MHM_NL'RPlt'C'Flr_00'C002;PXC3.E75A-2;v01.21;172.16.13.13;3148813;"AAS-20:SU=SiUn;CPD=2025-08-15 11:03:18;";Automationsstation;;;
01DA301;MHM_NL'RPlt'C'Flr_01'C011;PXC3.E75A-2;v01.21;172.16.13.21;3148821;"AAS-20:SU=SiUn;CPD=2025-07-16 14:34:29;";Automationsstation;;;
02DB301;MHM_NL'RPlt'C'Flr_02'C021;PXC3.E16A-2;v01.21;172.16.13.32;3148832;"AAS-20:SU=SiUn;CPD=2025-05-20 23:11:44;";Automationsstation;;;
01DA303;MHM_NL'RPlt'C'Flr_01'C013;PXC3.E75A-2;v01.21;172.16.13.25;3148825;"AAS-20:SU=SiUn;CPD=2025-07-16 13:55:47;";Automationsstation;;;
01DA302;MHM_NL'RPlt'C'Flr_01'C012;PXC3.E75A-2;v01.21;172.16.13.23;3148823;"AAS-20:SU=SiUn;CPD=2025-08-14 11:11:49;";Automationsstation;;;
01DB302;MHM_NL'RPlt'C'Flr_01'C012;PXC3.E16A-2;v01.21;172.16.13.24;3148824;"AAS-20:SU=SiUn;CPD=2025-07-16 13:55:53;";Automationsstation;;;
00DB301;MHM_NL'RPlt'C'Flr_00'C001;PXC3.E16A-2;v01.21;172.16.13.12;3148812;"AAS-20:SU=SiUn;CPD=2025-05-20 22:28:17;";Automationsstation;;;
BNR03;;PXG3.M-1;v01.21;172.16.13.1;2100225;;PXG Router 03 Geb. C;;;
02DB302;MHM_NL'RPlt'C'Flr_02'C022;PXC3.E16A-2;v01.21;172.16.13.34;3148834;"AAS-20:SU=SiUn;CPD=2025-05-20 23:12:13;";Automationsstation;;;
AS_C100 02PC310;MHM_NL'CI'Zähler BTC'Zähler 2.OG;PXC4.E16-2;02.21.194.29;172.16.13.53;681013;"AAS-30:SU=SiUn;CPD=2025-04-16 12:57:09;";M-Bus Zähler EG/1.OG;;;
AS_C100 02PD310;MHM_NL'CI'Zähler BTC'Zähler 2.OG;PXC4.E16-2;02.21.194.29;172.16.13.54;681014;"AAS-30:SU=SiUn;CPD=2025-07-29 12:23:42;";M-Bus Zähler 2.OG/3.OG;;;
00DA304;MHM_NL'RPlt'C'Flr_00'C004;PXC3.E75A-2;v01.21;172.16.13.16;3148816;"AAS-20:SU=SiUn;CPD=2025-06-04 14:33:56;";Automationsstation;;;
CP_B001;MHM_NL'A;PXM40.E;02.21.194.25;172.16.15.15;681007;"AAS-30:SU=SiUn;CPD=2024-11-11 09:51:14;";Control Point CP_B001.B;;;
CP_B200;MHM_NL'HC;PXM40.E;02.21.194.25;172.16.15.24;681005;"AAS-30:SU=SiUn;CPD=2024-11-08 07:35:30;";Control Point B200;;;
BNR04;;PXG3.M-1;v01.21;172.16.14.1;2101249;;PXG Router 04 Geb D;;;
BNR01;;PXG3.M-1;v01.21;172.16.11.1;2098177;;PXG Router 01 Geb. A;;;
